SENTENCE,ITEM 1,ITEM 2,ITEM 3,ITEM 4,ITEM 5
Patients: Twenty-four children with asthma aged 5.6 to 12.5 years.,0,0,0,0,0
Setting: An outpatient secondary referral center,0,0,0,0,0
Background: Twice-daily administration of inhaled budesonide (400 micrograms) suppresses short-term growth in children with asthma.,0,0,0,0,0
"The carboxy terminal propeptide of type I procollagen, the amino terminal propeptide of type I procollagen (PINP), the carboxy terminal pyridinoline cross-linked telopeptide of type I collagen, the amino terminal propeptide of type III procollagen (PIIINP), and urinary pyridinoline and deoxypyridinoline were evaluated.",0,0,0,0,0
"Results: Mean lower leg growth rate (P = .04), PINP (P = .03), and PIIINP (P < .01) were suppressed during twice-daily administration of budesonide, 400 micrograms",0,0,0,0,0
"Otherwise, no statistically significant differences were detected.",0,0,0,0,0
"Conclusions: As compared with 400 micrograms of inhaled budesonide administered twice daily, 800 micrograms administered once daily in the morning has a sparing effect on short-term growth and collagen turnover.",0,0,0,0,0
Efficacy of once-daily versus twice-daily administration of budesonide by turbuhaler in children with stable asthma,0,0,0,0,0
"We evaluated the efficacy of once-daily versus twice-daily treatment with budesonide, delivered by a Turbuhaler(R), in the management of children with stable asthma in a randomized, double-blind, parallel-group study involving 206 children (age 5-15 years)",1,1,0,0,0
"After a 2-week run-in period during which the children were maintained on their usual dose of budesonide (200 microg or 400 microg/day), patients were randomized to receive the same daily dose in either two daily administrations (morning and evening) or as a single dose in the morning over a period of 12 weeks",1,0,0,1,0
The primary efficacy variable was morning peak expiratory flow (PEF),0,0,0,0,0
The mean morning PEF during the run-in phase was 271 L/min in patients randomized to once-daily treatment and 264 L/min in those randomized to twice-daily treatment,1,0,0,0,0
The mean change from baseline to the last 2 weeks of the treatment period in the two groups was -0.3 L/min (95% confidence limits -6.6 to +6.0) and 2.5 L/min (-4.3 to +9.3),0,0,0,0,0
"The estimated difference between the groups was -2.8 L/min, with 90% confidence limits of -10.4 + 4.5; these were close to the limits regarded as indicative of equivalence (-10 to +10), and hence the difference was not regarded as clinically relevant",0,0,0,0,0
"Similarly, there were no significant differences between the groups in regard to secondary efficacy measures such as spirometric tests and symptom scores",0,0,0,0,0
Both treatments were well tolerated,0,0,0,0,0
We conclude that once-daily administration of budesonide by Turbuhaler(R) is as effective as twice-daily treatment in the management of stable asthma in children treated with inhaled steroids at doses of 200-400 microg/day.,0,0,0,0,0
"A multiple–dosing, placebo–controlled study of budesonide inhalation suspension given once or twice daily for treatment of persistent asthma in young children and infants",0,0,0,0,0
"Rationale: Topical antiinflammatory medications such as inhaled corticosteroids are recommended for therapy of asthma, but no formulation suitable for administration to infants and young children is available in the United States.",0,0,0,0,0
"Methods: This was a 12-week, multicenter, double-blind, randomized, parallel-group study comparing the efficacy and safety of four dosing regimens of bude-sonide inhalation suspension (BIS) or placebo in 480 asthmatic infants and children (64% boys), ages 6 months to 8 years, with moderate persistent asthma",1,1,0,0,0
Approximately 30% of children were previously on inhaled corticosteroids that were discontinued before the study,0,0,0,0,0
"Active treatments were comprised of BIS 0.25 mg once daily (QD), 0.25 mg twice a day (BID), 0.5 mg BID, or 1.0 mg QD",0,0,0,0,0
"Efficacy was assessed by twice daily recording at home of asthma symptom scores and use of rescue medication, and discontinuation from the study because of worsening asthma and/or a requirement for systemic steroids",0,0,0,0,0
Peak flow measurements were recorded twice daily on diary and spirometry was recorded at clinic visits for those children able to perform these tests,0,0,0,0,0
Safety was assessed by reported adverse events and by cortisol testing (adrenocorticotropic hormone stimulation) in a subset of patients,0,0,0,0,0
Results: Patients enrolled had an average duration of asthma of 34 months; the mean asthma symptom score was approximately 1.3 (scale of 0-3),0,0,0,0,0
All dosing regimens with BIS produced statistically significant improvement in various clinical efficacy measures for asthma control compared with placebo,0,0,0,0,0
"The lowest dose used, 0.25 mg QD, was efficacious but with fewer efficacy parameters than seen with the other doses administered",0,0,0,0,0
Separation between active treatment and placebo in daytime and nighttime symptom scores were observed by week 2 of treatment for all BIS treatment regimens,0,0,0,0,0
A significant increase in peak flow measurement was observed in most active treatment groups compared with placebo in the subset of children able to do pulmonary function testing,0,0,0,0,0
All treatment groups showed numerical improvement in forced expiratory volume in 1 second but only the 0.5-mg BID dose was significantly different from placebo,0,0,0,0,0
Adverse events for the entire group and response to adrenocorticotropic hormone in a subgroup of children who underwent cortisol testing before and at the end of the treatment period were no different in budesonide-treated patients in comparison to placebo.,0,0,0,0,0
"Conclusion: Results of this study demonstrate that BIS is effective and safe for infants and young children with moderate persistent asthma in a multiple dose range, and that QD dosing is an important option to be considered by the prescribing physician.",0,0,0,0,0
Low-dose inhaled budesonide once or twice daily for 27 months in children with mild asthma,0,0,0,0,0
This study is an extended follow-up for 24 months of a 12-week trial to study the long-term clinical efficacy of low-dose inhaled budesonide (BUD) once or twice daily in children with mild asthma,0,0,0,0,0
"A total of 122 children (mean age 9.7 years, girls/boys; 42/80) with mild asthma (FEV1 103.7% of predicted, reversibility in FEV1 3.5%, and fall in FEV1 after exercise 12.2%), not previously treated with inhaled steroids, were included in a double-blind, randomized, parallel-group study",1,1,0,0,0
"The children were treated with inhaled BUD 100 or 200 microg administered via Turbuhaler once daily in the morning, 100 microg twice daily, or placebo for 27 months",0,0,0,0,0
"Exercise and methacholine challenges were performed at 3-month intervals the first year and at 6-month intervals the second year, in a total of seven visits",0,0,0,0,0
"A significant dose-response effect favoring BUD 200 microg daily (vs 100 microg daily) was found when comparing changes in FEV1, FEF25%, and FEV50%; the fall in FEV1 after an exercise test; and the effect on blood eosinophils",0,0,0,0,0
Bronchial hyperreactivity to methacholine decreased significantly on three visits in patients treated with BUD 200 microg daily compared to placebo,0,0,0,0,0
Growth rate was not significantly affected except in children aged 7-11 years at baseline after 12 months of treatment,0,0,0,0,0
"In conclusion, 100 or 200 microg daily of inhaled BUD for 27 months is safe and effective in protecting against exercise-induced asthma and achieving nearly normal lung function",0,0,0,0,0
Baseline lung function was not significantly affected in this group of children with mild asthma.,0,0,0,0,0
Efficacy and safety of dry powder fluticasone propionate in children with persistent asthma,0,0,0,0,0
"Background: Flovent Diskus is a powder formulation of the inhaled corticosteroid fluticasone propionate (FP) delivered via a breath-actuated, multidose inhaler.",0,0,0,0,0
Objective: To determine the efficacy and safety of dry powder FP administered once or twice daily (200 microg per day) to children with persistent asthma,0,0,0,0,0
"Methods: Twelve-week, randomized, double-blind, placebo-controlled, multicenter trial with a 52-week, open-label extension",1,1,0,0,0
Children aged 4 to 11 were required to have pulmonary function 50% to 85% of predicted values,0,0,0,0,0
The population was stratified for baseline therapy (inhaled corticosteroid/cromolyn or bronchodilators only),0,0,0,0,0
"After a 2-week placebo run-in, 242 patients received dry powder FP 200 microg each morning, dry powder FP 100 microg BID, or placebo for 12 weeks; 192 were rerandomized to the QD or BID regimen for an additional 52 weeks of open-label treatment",1,0,0,1,0
Primary endpoints were mean changes in FEV1 and morning PEF recorded at clinic visits.,0,0,0,0,0
"Results: Both dry powder FP regimens significantly improved FEV1, evening PEF, and asthma symptoms at the double-blind phase endpoint (P < or = .017 compared with placebo)",0,1,0,0,0
The BID regimen also significantly improved morning PEF and nighttime awakenings due to asthma (P < or = .005),0,0,0,0,0
"Among patients previously treated with inhaled corticosteroids/cromolyn, improvements observed with the QD and BID regimens were similar",0,0,0,0,0
Patients switched from BID to open-label QD treatment showed additional improvements at week 52 generally comparable to patients who received the BID regimen during both phases,0,0,0,0,0
Fluticasone propionate was well tolerated for up to 64 weeks with few reports of drug-related adverse events or morning plasma cortisol abnormalities,0,0,0,0,0
Inhaled fluticasone propionate by Diskus in the treatment of asthma,0,0,0,0,0
Conclusions: Once daily dosing of dry powder FP 200 microg is an effective and convenient alternative for children whose asthma is controlled with a more frequent dosing regimen of inhaled corticosteroids.,0,0,0,0,0
A comparison of the efficacy of the same nomimal dose given either once or twice a da,0,0,0,0,0
"Study objective: In September 2000, the US Food and Drug Administration (FDA) approved the use of Flovent Diskus (FD) [fluticasone propionate; GlaxoSmithKline; Research Triangle Park, NC], which is an orally inhaled, dry-powder corticosteroid, for the maintenance treatment of asthma at dosages of 50 to 1,000 microg administered twice-daily",0,0,0,0,0
Once-daily dosage regimens did not receive approval,0,0,0,0,0
"This article will detail six clinical trials, five of which incorporated comparative once-daily and twice-daily treatment arms of the same nominal dose of FD",0,0,0,0,0
"Results: Twice-daily dosing was numerically superior to once-daily dosing at the same nominal dose in all comparative studies for the primary end point, change in predose FEV(1)",0,0,0,0,0
"Design: Six 12-week, randomized, double-blind, placebo-controlled studies in patients with mild-to-moderate asthma, including two pediatric asthma trials (patient age, 4 to 11 years) of total daily doses of fluticasone propionate (FP) of 100 or 200 microg, and four adult and adolescent studies of total daily doses of FP of 100, 200, or 500 microg",1,1,0,0,0
"In five trials, the results of the once-daily dosage of FP were statistically indistinguishable from those with placebo",0,0,0,0,0
"One trial demonstrated the superiority of FP, 500 microg once-daily, over placebo; however, the effect size was half that observed with twice-daily dosing",0,0,0,0,0
Once-daily FP dosing showed no advantage in safety or in patient adherence to medication,0,0,0,0,0
"Conclusions: In the FDA review of once-daily dosing of the FD regimen, 100 or 200 microg once-daily dosing was not shown to be significantly better than placebo",0,0,0,0,0
"FP 500 microg once-daily was found to be superior to placebo, but at about one half the effect size as the same nominal dose given bid",0,0,0,0,0
"No advantage in patient safety or adherence was demonstrated for once-daily administration over twice-daily administration, and once-daily administration is not currently recommended.",0,0,0,0,0
Is evidence for homeopathy reproducible ?,0,0,0,0,0
"We tested, under independent conditions, the reproducibility of evidence from two previous trials that homoeopathy differs from placebo",0,0,0,0,0
The test model was again homoeopathic immunotherapy,0,0,0,0,0
"28 patients with allergic asthma, most of them sensitive to house-dust mite, were randomly allocated to receive either oral homoeopathic immunotherapy to their principal allergen or identical placebo",1,0,0,0,0
The test treatments were given as a complement to their unaltered conventional care,0,0,0,0,0
A daily visual analogue scale of overall symptom intensity was the outcome measure,0,0,0,0,0
A difference in visual analogue score in favour of homoeopathic immunotherapy appeared within one week of starting treatment and persisted for up to 8 weeks (p = 0.003),0,0,0,0,0
There were similar trends in respiratory function and bronchial reactivity tests,0,0,0,0,0
A meta-analysis of all three trials strengthened the evidence that homoeopathy does more than placebo (p = 0.0004),0,0,0,0,0
Is the reproducibility of evidence in favour of homoeopathy proof of its activity or proof of the clinical trial's capacity to produce false-positive results?,0,0,0,0,0
Use of ultramolecular potencies of allergen to treat asthmatic people allergic to house dust mite: double blind randomised controlled clinical trial,1,1,0,0,0
"Clinic based assessments: forced expiratory volume in one second (FEV1), quality of life, and mood",0,0,0,0,0
"After a four week baseline assessment, participants were randomised to receive oral homoeopathic immunotherapy or placebo and then assessed over 16 weeks with three clinic visits and diary assessments every other week",1,0,0,0,0
38 general practices in Hampshire and Dorset,0,0,0,0,0
"242 people with asthma and positive results to skin prick test for house dust mite; 202 completed clinic based assessments, and 186 completed diary based assessments",0,0,0,0,0
Double blind randomised controlled trial,1,1,0,0,0
To evaluate the efficacy of homoeopathic immunotherapy on lung function and respiratory symptoms in asthmatic people allergic to house dust mite,0,0,0,0,0
"Diary based assessments: morning and evening peak expiratory flow, visual analogue scale of severity of asthma, quality of life, and daily mood",0,0,0,0,0
There was no difference in most outcomes between placebo and homoeopathic immunotherapy,0,0,0,0,0
"There was a different pattern of change over the trial for three of the diary assessments: morning peak expiratory flow (P=0.025), visual analogue scale (P=0.017), and mood (P=0.035)",0,0,0,0,0
At week three there was significant deterioration for visual analogue scale (P=0.047) and mood (P=0.013) in the homoeopathic immunotherapy group compared with the placebo group,0,0,0,0,0
Any improvement in participants' asthma was independent of belief in complementary medicine,0,0,0,0,0
Homoeopathic immunotherapy is not effective in the treatment of patients with asthma,0,0,0,0,0
The different patterns of change between homoeopathic immunotherapy and placebo over the course of the study are unexplained,0,0,0,0,0
Homoeopathic remedies probably have an effect that is greater than placebo,0,0,0,0,0
Some of the better quality homoeopathic studies involve homoeopathic doses of allergens used to treat allergic diseaseIn this study homoeopathic remedies were no better than placebo in the treatment of asthmatic patients who are allergic to house dust mite,0,0,0,0,0
Individualised homeopathy as an adjunct in the treatment of childhood asthma: a randomised placebo controlled trial,1,0,0,0,0
Background: Homeopathy is frequently used to treat asthma in children,0,0,0,0,0
"In the common classical form of homeopathy, prescriptions are individualised for each patient",0,0,0,0,0
There has been no rigorous investigation into this form of treatment for asthma.,0,0,0,0,0
"Methods: In a randomised, double blind, placebo controlled trial the effects of individualised homeopathic remedies were compared with placebo medication in 96 children with mild to moderate asthma as an adjunct to conventional treatment",1,1,0,0,0
The main outcome measure was the active quality of living subscale of the Childhood Asthma Questionnaire administered at baseline and follow up at 12 months,0,0,0,0,0
"Other outcome measures included other subscales of the same questionnaire, peak flow rates, use of medication, symptom scores, days off school, asthma events, global assessment of change, and adverse reactions",0,0,0,0,0
"Other subscales, notably those measuring severity, indicated relative improvements but the sizes of the effects were small",0,0,0,0,0
Results: There were no clinically relevant or statistically significant changes in the active quality of life score,0,0,0,0,0
There were no differences between the groups for other measures.,0,0,0,0,0
"Conclusions: This study provides no evidence that adjunctive homeopathic remedies, as prescribed by experienced homeopathic practitioners, are superior to placebo in improving the quality of life of children with mild to moderate asthma in addition to conventional treatment in primary care.",0,0,0,0,0
negative sample test for item 1,0,0,0,0,0
"this is not a real article, just something to triger negative exemple of the item 1 for test use, to be remove later like any ""pmid"" below 0",0,0,0,0,0
Comparison of 2 iron doses in infants receiving recombinant human erythropoietin therapy,0,0,0,0,0
"Objective: To compare iron sufficiency in premature infants receiving high-dose recombinant human erythropoietin (r-HuEPO), 1200 IU/kg per week, supplemented with 6 or 12 mg/kg per day of enteral iron.",0,0,0,0,0
"Design: We conducted a prospective, double-blind, controlled study of premature infants receiving r-HuEPO therapy, randomly assigned to receive 2 different doses of iron",1,1,0,0,0
"Measurements of ferritin, iron, total iron-binding capacity, reticulocyte count, hemoglobin level, and hematocrit were obtained at baseline, 4, and 6 weeks",0,0,0,0,0
Transferrin saturation was calculated; the number of blood transfusions and the incidences of sepsis were recorded.,0,0,0,0,0
"Setting: This study was performed in the neonatal intensive care unit at Loma Linda University Children's Hospital, Loma Linda, Calif.",0,0,0,0,0
"Subjects: Infants with a gestational age of 32 weeks or younger, older than 7 days, and receiving r-HuEPO therapy from March 1, 1997, to June 30, 1998, were eligible for the study",0,0,0,0,0
Infants were randomly assigned to receive 6 mg/kg per day or 12 mg/kg per day of enteral iron during a course of r-HuEPO therapy for 4 to 6 weeks.,1,0,0,1,0
Results: Sixty-four infants were enrolled in the study,0,0,0,0,0
Twelve infants did not complete the study; 52 completed 4 weeks and 41 completed 6 weeks of the study,0,0,1,0,0
"While ferritin levels and transferrin saturation decreased in both groups over the study period, there were no differences between the 2 study groups.",0,0,0,0,0
Conclusions: Infants receiving high-dose r-HuEPO therapy (1200 IU/kg per week) decrease their ferritin levels (measure of iron stores) even when receiving high enteral iron supplementation,0,0,0,0,0
"Given that the ferritin levels were similar between the 2 groups, we speculate that the additional iron either was not absorbed or was not stored.",0,0,0,0,0
"Comparison between single-dose oral prednisolone and oral dexamethasone in the treatment of croup: a randomized, double-blinded clinical trial",1,1,0,0,0
Objective: To compare the effectiveness of three corticosteroid regimens in children with mild to moderate croup.,0,0,0,0,0
"Methods: Double-blinded, randomized comparative trial with parallel design, conducted in the ED of a paediatric tertiary care hospital",1,1,0,0,0
Children aged 6 months to 6 years presenting to the ED with croup were eligible for inclusion if their Westley croup score was 2 or more,0,0,0,0,0
"They were randomized to receive a single oral dose of either prednisolone 1 mg/kg, dexamethasone 0.15 mg/kg or dexamethasone 0.6 mg/kg",1,0,0,0,0
"Primary outcome measures were the magnitude and rate of reduction in Westley croup score, rate of return for medical care with ongoing croup, and further treatment with steroids in the week following index presentation",0,0,0,0,0
"Secondary outcome measures were the proportion of subjects requiring admission or salvage therapy, such as nebulized adrenaline, during index presentation.",0,0,0,0,0
"Results: A total of 99 children, aged 6-79 months, were enrolled (mean age: 1.7 years)",0,0,0,0,0
"Thirty-four patients were randomized to receive prednisolone 1 mg/kg, 34 to receive dexamethasone 0.15 mg/kg, and 31 to receive dexamethasone 0.6 mg/kg",1,0,0,1,0
Baseline characteristics of the three groups were similar,0,0,0,0,0
The parents of 86 patients (87%) were available for follow-up telephone interview at 1 week,0,0,0,0,0
There were no significant differences in primary or secondary outcome measures between the three treatment groups.,0,0,0,0,0
Conclusions: Both prednisolone 1 mg/kg and low-dose dexamethasone (0.15 mg/kg) were found not to differ in efficacy from the currently recommended 0.6 mg/kg dexamethasone,0,0,0,0,0
The use of these corticosteroid regimens in treating patients with mild to moderate croup is thus supported.,0,0,0,0,0
A randomized comparison of dexamethasone 0.15 mg/kg versus 0.6 mg/kg for the treatment of moderate to severe croup,1,0,0,0,0
"Background: Although previous studies have shown that dexamethasone is useful in croup, the optimal dosage has not been clarified yet",0,0,0,0,0
The aim of this study was to investigate the effectiveness of dexamethasone 0.15 mg/kg single dose compared with the recommended dose of 0.6 mg/kg for treatment of hospitalized children with moderate to severe croup.,0,0,0,0,0
Method: Forty-one children aged 6 months to 5 years admitted from March 2001 to October 2003 at the pediatric ward of Hatyai Hospital with moderate to severe croup were recruited for the study,0,0,0,0,0
"After random allocation, each child received a single intravenous injection of either dexamethasone 0.6 mg/kg (maximum dose 12 mg) or 0.15 mg/kg (maximum dose 3 mg)",1,0,0,0,0
All children were given a single dose of epinephrine nebulization at the beginning of the study,0,0,0,0,0
"The croup scores were measured at 0, 1, 2, 3, 4, 6, 8, 10 and 12 h after the dexamethasone injection.",0,0,0,0,0
"Results: One hour following the injection, the mean croup scores were significantly reduced from baseline values in both groups (p<0.01)",0,0,0,0,0
There was no difference in the mean croup scores between the two groups at any time,0,0,0,0,0
"Median times to croup scores equal or less than two in both high- and low-dose groups were 8 and 7.9 h, respectively",0,0,0,0,0
No patient required intubation or was removed from the study because of a rising croup score after enrollment,0,0,1,0,0
There was no significant adverse reaction from dexamethasone treatment in either group.,0,0,0,0,0
Iron supplementation enhances response to high doses of recombinant human erythropoietin in preterm infants,0,0,0,0,0
Conclusion: Dexamethasone 0.15 and 0.6 mg/kg are equally effective in the treatment of moderate to severe croup.,0,0,0,0,0
To determine whether iron supplementation would enhance erythropoiesis in preterm infants treated with high doses of human recombinant erythropoietin (r-HuEPO).,0,0,0,0,0
"Sixty three preterm infants were randomly allocated at birth to one of three groups to receive: r-HuEPO alone, 1200 IU/kg/week (EPO); or r-HuEPO and iron, 1200 IU/kg/week of r-HuEPO plus 20mg/kg/week of intravenous iron (EPO+iron); or to serve as controls",1,0,0,1,0
All three groups received blood transfusions according to uniform guidelines.,0,0,0,0,0
RESULTS—Infants in the EPO+iron group needed fewer transfusions than controls—mean (95% CI) 1.0 (0.28-1.18) vs 2.9 (1.84-3.88) and received lower volumes of blood—mean (95% CI) 16.7 (4.9-28.6) vs 44.4 (29.0-59.7) ml/kg,0,0,0,0,0
"The EPO group also needed lower volumes of blood than the controls—mean (95% CI) 20.1 (6.2-34.2) vs 44.4(29.0-59.7) ml/kg, but the same number of transfusions, 1.3 (0.54-2.06) vs 2.9 (1.84-3.88)",0,0,0,0,0
"Reticulocyte and haematocrit values from postnatal weeks 5 to 8 were higher in the EPO+iron than in the EPO group, and both groups had higher values than the controls",0,0,0,0,0
"Mean (SEM) plasma ferritin was lower in the EPO group—65 (55) µg/l than in the EPO+iron group 780 (182) µg/l, and 561 (228) µg/l in the control infants.",0,0,0,0,0
CONCLUSIONS—Early administration of high doses of r-HuEPO with iron supplements significantly reduced the need for blood transfusion,0,0,0,0,0
Intravenous iron (20 mg/kg/week in conjunction with r-HuEPO yielded a higher reticulocyte count and haematocrit concentration after the forth week of life than r-HuEPO alone,0,0,0,0,0
Infants treated with r-HuEPO alone showed signs of reduced iron stores.,0,0,0,0,0
Oral iron supplementation in preterm infants treated with erythropoietin,0,0,0,0,0
Background: It is not known whether a moderate dose of oral iron supplementation would further enhance erythropoiesis in recombinant human erythropoietin (EPO)-treated very low-birthweight (VLBW) infants.,0,0,0,0,0
"Methods: In total, 24 preterm infants with birthweights 750-1499 g were enrolled at the age of 14-28 days to receive 400 IU/kg per week EPO subcutaneously for 8 weeks",0,0,0,0,0
The infants were randomly allocated either to receive oral iron supplementation 4 mg/kg per day or to serve as controls.,1,0,0,1,0
"Results: Hemoglobin and the absolute reticulocyte count in the iron supplementation and the control groups remained identical throughout the study period, whereas serum ferritin was significantly lower in the control group at study exit and follow up",0,0,0,0,0
Rates of treatment success (no need for transfusion and hemoglobin never below 8 g/dL) also did not differ between the groups.,0,0,0,0,0
Conclusions: In this study we did not find a clear advantage in a moderate dose of oral iron supplementation on erythropoiesis in EPO-treated VLBW infants,0,0,0,0,0
Whether a higher dose would lead to enhanced erythropoiesis remains to be answered.,0,0,0,0,0
Oral iron is sufficient for erythropoietin treatment of very low birth-weight infant,0,0,0,0,0
The aim of this study was to compare two different doses and means of administration of iron in recombinant human erythropoietin (rHuEPO)-treated very low birth-weight (VLBW) infants,0,0,0,0,0
VLBW infants (n = 41) were randomized to one of three groups,1,0,0,0,0
"Fourteen infants were treated with rHuEPO (300 IU/kg three times a week s.c.) and oral iron (ferrofumarate, 6 mg of iron/kg per day)",0,0,0,0,0
"Another 14 infants received the same erythropoietin dose and intramuscular iron (ferroxypolymaltose, once 12 mg of iron/kg weekly)",0,0,0,0,0
Thirteen infants were treated with the same dose of intramuscular iron but did not receive rHuEPO,0,0,0,0,0
"After the 3-week study period, haemoglobin concentrations and reticulocyte counts were similar in the rHuEPO-treated groups and both were higher than in the group not receiving rHuEPO (P < 0.001)",0,0,0,0,0
In both rHuEPO-treated groups the transferrin receptor concentration increased from 6.8-7.2 mg/l to 10.5-11.3 mg/l.,0,0,0,0,0
Conclusion: In erythropoietin-treated very low birth weight infants the iron need for erythropoiesis can be met by oral administration of iron.,0,0,0,0,0
A comparison of oral and intravenous iron supplementation in preterm infants receiving recombinant erythropoietin,0,0,0,0,0
Objective: To determine whether intravenously administered iron supplements would improve the hematologic response to recombinant erythropoietin in stable preterm infants.,0,0,0,0,0
"Methods: Forty-two preterm infants (<33 weeks' gestation, birth weight < 1500 gm, hematocrit <38%) were treated with recombinant human erythropoietin (Eprex), 600 U/kg per week, and randomly assigned to receive either an oral preparation of ferrous lactate (elemental iron, 12 mg/kg per day) or an intravenous preparation of iron sucrose (6 mg/kg per week).",1,0,0,1,0
"Results: Hematocrits, reticulocyte counts, and transfusions were similar in the oral group (OG) and the intravenous group (IVG)",0,0,0,0,0
"However, markedly higher serum ferritin concentrations were noted in the IVG (p <0.001), and by completion of the study the arithmetic mean values were 265 +/- 127 microg/L versus 137 +/- 65 microg/L in the IVG and the OG, respectively",0,0,0,0,0
The numbers of hypochromic erythrocytes increased in both groups during the study but were significantly higher in the OG (p = 0.04),0,0,0,0,0
Mean daily weight gain in the IVG (27 +/- 6.4 gm/day) was greater than in the OG (22.9 +/- 4.78 gm/day; p = 0.04).,0,0,0,0,0
Conclusions: High doses of both orally administered iron and intravenously administered iron sucrose appear to supply sufficient iron for erythropoiesis in stable infants,0,0,0,0,0
Storage iron may become depleted after oral supplementation,0,0,0,0,0
